Numer_zgloszenia;Numer_prawa_wylacznego;Data_Zgloszenia;Numer_BUP;Data_Publikacji_BUP;Numer_WUP;Data_Publikacji_WUP;Nazwa_znaku;Rodzaj_znaku;Uprawnieni;Miasto_uprawnionego;Kraj_uprawnionego;Pelnomocnicy;Klasyfikacja_nicejska;Klasyfikacja_wiedenska;Status_sprawy;
005199;003684;1920-02-11;;;;;CARBORUNDIT;S;TOWARNY STROJIRENSKÉ TECHNIKY, KONCERN;PRAGA;CZ;PHZ "Polservice";NIC: 01 03 ;;Wygaśnięcie prawa ochronnego;
005200;017340;1920-02-11;;;12/1928;1800-01-01;CARBORUNDUM;S;CARBORUNDUM ELECTRITE, A.S.;BENATKY NAD JIZEROU;CZ;Agnieszka Skrzypczak PATPOL Spółka z o.o.;NIC: 07 ;;Udzielenie prawa;
005202;003686;1920-02-11;;;;;SAPHIR;S;TOVARNY STROJIRENSKÉ TECHNIKY, KONCERN;PRAGA;CZ;PHZ "Polservice";NIC: 07 16 24 ;;Wygaśnięcie prawa ochronnego;
005203;003687;1920-02-11;;;;;ELEKTROSAPHIR;S;TOVARNY STROJIRENSKÉ TECHNIKY, KONCERN;PRAGA;CZ;PHZ "Polservice";NIC: 07 16 24 ;;Wygaśnięcie prawa ochronnego;
005204;017339;1920-02-11;;;12/1928;1928-12-31;CARBORUNDUM;S;CARBORUNDUM ELECTRITE, A.S.;BENATKY ND JIZEROU;CZ;Agnieszka Skrzypczak PATPOL Spółka z o.o.;NIC: 01 07 09 13 19 ;;Udzielenie prawa;
005205;017338;1920-02-11;;;12/1928;1800-01-01;CARBORUNDUM;S;CARBORUNDUM ELECTRITE, A.S.;BENATKY NAD JIZEROU;CZ;Agnieszka Skrzypczak PATPOL Spółka z o.o.;NIC: 19 ;;Udzielenie prawa;
005207;017337;1920-02-11;;;;;KARBORUNDUM;S;SPOJENÉ ZAVODY NA VYROBU KARBORUNDA A ELEKTRITU NARODNI PODNIK;NOVÉ BENATKY;CS;Patpol Sp.z o.o.;NIC: 07 ;;Wygaśnięcie prawa ochronnego;
005208;017335;1920-02-11;;;12/1928;1928-12-31;CARBORUNDUM;SG;CARBORUNDUM ELECTRITE, A.S.;BENATKY NAD JIZEROU;CZ;"Patpol" Sp. z o.o.;NIC: 07 ;VIE: 2601 2705 ;Wygaśnięcie prawa ochronnego;
005209;017336;1920-02-11;;;12/1928;1928-12-31;CARBORUNDUM;S;CARBORUNDUM ELECTRITE, A.S.;BENATKY NAD JIZEROU;CZ;Agnieszka Skrzypczak PATPOL Spółka z o.o.;NIC: 07 ;;Udzielenie prawa;
005210;003689;1920-02-11;;;;;ELECTRIT;S;TOVARNY STROJIRENSKÉ TECHNIKY, KONCERN;PRAGA;CZ;PHZ "Polservice";NIC: 06 ;;Wygaśnięcie prawa ochronnego;
005837;004978;1920-03-09;;;;;NO 300 L & C HARDTMUTH;SG;Koh-i-noor tuzkarna L. & C. Hardtmuth, narodni podnik;Ceske Budejovice;CZ;PHZ "Polservice";NIC: 17 ;VIE: 2417 2601 2705 2707 ;Wygaśnięcie prawa ochronnego;
005846;004146;1920-03-09;;;;;THE NEGRO PENCIL;S;Koh-i-noor tuzkarna L. & C. Hardtmuth, narodni podnik;Czeskie Budziejowice;CZ;PHZ "Polservice";NIC: 16 ;;Wygaśnięcie prawa ochronnego;
005856;004156;1920-03-09;;;;;ALPHA;S;Koh-i-noor tuzkarna L. & C. Hardtmuth, narodni podnik;Czeskie Budziejowice;CZ;PHZ "Polservice";NIC: 16 ;;Wygaśnięcie prawa ochronnego;
005859;004979;1920-03-09;;;05/1925;1925-05-30;;G;KOH-I-NOOR HARDTMUTH A.S.;CESKE BUDEJOVICE;CZ;Agnieszka Skrzypczak PATPOL Sp. z o.o.;NIC: 17 ;VIE: 0301 ;Udzielenie prawa;
005862;004159;1920-03-09;;;;;MEPHISTO;S;Koh-i-noor tuzkarna L. & C. Hardtmuth, narodni podnik;Czeskie Budziejowice;CZ;PHZ "Polservice";NIC: 16 ;VIE: 2817 ;Wygaśnięcie prawa ochronnego;
005871;004168;1920-03-09;;;;;PLUTO;S;Koh-i-noor tuzkarna L. & C. Hardtmuth, narodni podnik;Czeskie Budziejowice;CZ;PHZ "Polservice";NIC: 16 ;;Wygaśnięcie prawa ochronnego;
005872;004311;1919-11-26;;;04/1925;1925-04-30;SAURER;SG;Saurer Management AG;Winterthur;CH;Wanda Kulikowska Kulikowska & Kulikowski;NIC: 07 12 13 ;VIE: 0701 2601 2604 2705 ;Wygaśnięcie prawa ochronnego;
006234;003876;1920-03-24;;;03/1925;1925-03-31;ROCHE;S;F.HOFFMANN-LA ROCHE AG;BAZYLEA;CH;Anna Burakowska PATPOL Spółka z o.o.;NIC: 01 05 ;;Wygaśnięcie prawa ochronnego;
006269;009048;1921-07-06;;;10/1925;1925-10-31;MECCANO;S;MECCANO;NA;FR;;NIC: 28 ;;Udzielenie prawa;
006299;004482;1920-03-30;;;04/1925;1925-04-30;UNION SPECIAL;S;UNION SPECIAL CORPORATION (A DELAWARE CORPORATION);HUNTLEY;US;;NIC: 07 ;;Udzielenie prawa;
006313;004511;1920-03-30;;;;;;G;UNION SPECIAL CORPORATION /A DELAWARE CORPORATION/;CHICAGO;US;PHZ "Polservice";NIC: 07 ;VIE: 1415 2604 ;Wygaśnięcie prawa ochronnego;
006319;011560;1920-03-31;;;;;PALMA;S;Taurus Gumiipari Vallalat;Budapeszt;HU;PHZ "Polservice";NIC: 05 09 10 12 16 18 22 25 28 ;;Wygaśnięcie prawa ochronnego;
006409;004582;1920-04-01;;;04/1925;1925-04-30;FRUIT SALT;S;Beecham Group p.l.c.;Brentford;GB;PHZ "Polservice";NIC: 05 ;;Wygaśnięcie prawa ochronnego;
006414;004587;1920-04-01;;;04/1925;1925-04-30;BASS;SG;BRANDBREW S.A.;MUNSBACH;LU;Jan A. Bucyk POLSERVICE Spółka z o.o.;NIC: 32 ;VIE: 2417 2501 2507 2601 2603 2705 ;Wygaśnięcie prawa ochronnego;
006478;004622;1920-04-06;;;;;VALET;S;Gillette U.K. Limited;Islworth;GB;"Patpol" Spółka z o.o.;NIC: 03 08 18 21 ;;Wygaśnięcie prawa ochronnego;
006506;004631;1920-04-08;;;;;CAPSTAN NAVY CUT;SG;British-American Tobacco Company,Limited;Staines;GB;Kulikowska & Kulikowski;NIC: 34 ;VIE: 2417 2501 2604 2611 2705 ;Wygaśnięcie prawa ochronnego;
006507;004632;1920-04-08;;;;;PLAYERS NAVY CUT;SG;British-American Tobacco Company,Limited;Londyn;GB;Patpol Spółka z o.o.;NIC: 34 ;VIE: 0201 1803 2501 2601 2705 ;Wygaśnięcie prawa ochronnego;
006520;004641;1920-04-08;;;;;S & H;SG;Universal Flavors International Inc.;Indianapolis;US;"Patpol";NIC: 01 03 ;VIE: 2417 2501 2601 2604 2605 2705 ;Wygaśnięcie prawa ochronnego;
006615;004746;1920-04-12;;;;;TABLOID;S;The Wellcome Fundation Limited;Londyn;GB;PHZ "Polservice";NIC: 01 05 29 30 ;;Wygaśnięcie prawa ochronnego;
006728;004824;1920-04-20;;;05/1925;1925-05-30;;G;SONY MUSIC ENTERTAINMENT;NOWY JORK;US;Jadwiga Szewczyk Polservice Sp. z o.o.;NIC: 09 ;VIE: 2417 ;Udzielenie prawa;
006911;004993;1920-05-04;;;05/1925;1925-05-30;CAMEL;S;JAPAN TOBACCO INC.;TOKIO;JP;Michał Sosnowski SULIMA-GRABOWSKA-SIERZPUTOWSKA Biuro Patentów i Znaków Towarowych Spółka Jawna;NIC: 34 ;;Udzielenie prawa;
006927;005007;1920-05-04;;;05/1925;1925-05-30;ALUNDUM;SG;SAINT-GOBAIN ABRASIVES, INC.;WORCESTER;US;Jadwiga Szewczyk Polservice Sp. z o.o.;NIC: 02 03 08 ;VIE: 2705 ;Udzielenie prawa;
006932;010503;1920-05-04;;;;;KLIM;SG;Borden,Inc.;Nowy Jork;US;PHZ "Polservice";NIC: 29 ;VIE: 2601 2701 ;Wygaśnięcie prawa ochronnego;
007123;005147;1920-05-17;;;05/1925;1925-05-30;PRIMUS;S;PRIMUS AB;ORNSKOLDSVIK;SE;Bartosz Krakowiak Polservice Sp. z o.o.;NIC: 08 09 11 ;;Udzielenie prawa;
007126;005149;1920-05-17;;;;;BAHCO;S;Sandvik AB;Sandviken;SE;PHZ "Polservice";NIC: 06 07 08 09 11 13 21 ;;Wygaśnięcie prawa ochronnego;
007451;007487;1920-06-08;;;;;GOOD YEAR;SG;The Goodyear Tire and Rubber Company;Akron;US;PHZ "Polservice";NIC: 03 07 15 16 17 20 25 28 ;VIE: 0209 0909 2501 2705 ;Wygaśnięcie prawa ochronnego;
007505;005426;1920-06-09;;;06/1925;1925-06-30;SOLO;S;Solo Susice akciova spolecnost;Susice;CZ;PHZ "Polservice";NIC: 34 ;;Wygaśnięcie prawa ochronnego;
008026;005764;1920-06-26;;;06/1925;1925-06-30;PALMOLIVE;S;COLGATE-PALMOLIVE COMPANY;NOWY JORK;US;Jadwiga Szewczyk Polservice Sp. z o.o.;NIC: 03 ;;Udzielenie prawa;
008031;005768;1920-06-26;;;06/1925;1925-06-30;WYBERT;S;Perfetti Van Melle Benelux B.V.;Breda;NL;Kulikowska & Kulikowski;NIC: 05 ;;Wygaśnięcie prawa ochronnego;
008033;005769;1920-06-26;;;;;SLOAN'S  LINIMENT;SG;Warner - Lambert Company;Morris Plains;US;PHZ "Polservice";NIC: 05 ;VIE: 0201 2604 2705 ;Wygaśnięcie prawa ochronnego;
008064;005790;1920-06-28;;;;;LA CORONA;SG;Consolidated Cigar Corporation;Fort Lauderdale;US;"Polservice";NIC: 34 ;VIE: 2409 2411 2501 2601 2705 ;Wygaśnięcie prawa ochronnego;
008288;009878;1920-07-05;;;12/1925;1925-12-31;A.C.MEUKOW & C.;SG;SOCIETE ANONYME DISTILLERIE DE MATHA-LEOPOLD BRUGEROLLE;COGNAC;FR;&quot Patpol&quot  Sp.z o.o.;NIC: 33 ;VIE: 0209 0503 0513 2405 2417 2604 2705 ;Wygaśnięcie prawa ochronnego;
008445;006108;1920-07-08;;;07/1925;1925-07-31;KING C.GILLETTE;SG;The Gillette Company;Boston;US;"Patpol";NIC: 03 08 20 21 ;VIE: 0201 2705 ;Wygaśnięcie prawa ochronnego;
008446;007420;1920-07-08;;;08/1925;1925-08-31;GILLETTE;SG;The Gillette Company;Boston;US;"Patpol";NIC: 03 06 08 21 ;VIE: 2415 2604 2705 ;Wygaśnięcie prawa ochronnego;
008577;006194;1920-07-10;;;07/1925;1925-07-31;COTY;S;COTY DEUTSCHLAND GMBH;MOGUNCJA;DE;;NIC: 03 ;;Udzielenie prawa;
008739;006318;1920-07-12;;;07/1925;1925-07-31;GOMENOL;S;LABORATOIRE DU GOMENOL;PARYŻ;FR;Monika Anusiewicz PATPOL Sp.z o.o.;NIC: 05 ;;Wygaśnięcie prawa ochronnego;
008743;008202;1920-07-12;;;;;VALDA;S;Sterling-Winthrop Inc.;Nowy Jork;US;PHZ "Polservice";NIC: 05 32 ;;Wygaśnięcie prawa ochronnego;
008835;006383;1920-07-21;;;;;;G;Dollfus Mieg & Cie;Paryż;FR;PHZ "Polservice";NIC: 23 ;VIE: 0301 2601 ;Wygaśnięcie prawa ochronnego;
008959;006456;1920-07-28;;;;;ZENITH;S;Zenith International S.A.;Le Locle;CH;PHZ "Polservice";NIC: 08 14 ;;Wygaśnięcie prawa ochronnego;
008972;009882;1920-07-29;;;;;CB;S;Dollfus-Mieg & Cie D.M.C.;Paryż;FR;PHZ "Polservice";NIC: 23 ;;Wygaśnięcie prawa ochronnego;
009232;006698;1920-09-04;;;;;S K F;SG;Aktiebolaget SKF;Göteborg;SE;PHZ "Polservice";NIC: 07 12 ;VIE: 2705 ;Wygaśnięcie prawa ochronnego;
009324;006822;1920-09-07;;;08/1925;1925-08-31;YALE;S;YALE INDUSTRIAL PRODUCTS,INC.,  ASSA ABLOY AB;FORREST, SZTOKHOLM;US, SE;;NIC: 06 07 ;;Udzielenie prawa;
009339;006836;1920-09-11;;;08/1925;1925-08-31;CANADIAN CLUB;S;1666987 ONTARIO INC.;WINDSOR;CA;Ludwika Przybyło PATPOL Sp. z o.o.;NIC: 33 ;;Wygaśnięcie prawa ochronnego;
009602;007077;1920-10-05;;;08/1925;1925-08-31;VEUVE CLICQUOT PONSARDIN;SG;MHCS;EPERNAY;FR;Magdalena Pietrosiuk Jan Wierzchoń Partnerzy-Biuro Patentów i Znaków Towarowych Spółka Jawna;NIC: 33 ;VIE: 0101 2501 2601 2604 2705 ;Udzielenie prawa;
009607;007082;1920-10-05;;;;;GBD;SG;Cadogan France Limited;Londyn;GB;"Patpol";NIC: 34 ;VIE: 2601 2705 ;Wygaśnięcie prawa ochronnego;
009725;007184;1920-10-14;;;;;GRAND VIN SEC;SG;Champagne Louis Roederer Societe Anonyme;Reims;FR;PHZ "Polservice";NIC: 33 ;VIE: 0101 0115 2501 2601 2611 2705 ;Wygaśnięcie prawa ochronnego;
010110;007545;1920-11-15;;;09/1925;1925-09-30;;G;SETUZA A.S.;USTI;CZ;Patpol Spółka z o.o.;NIC: 01 03 04 29 31 ;VIE: 0301 0619 ;Wygaśnięcie prawa ochronnego;
010199;011400;1920-11-20;;;02/1926;1926-02-27;RIPOLIN;SG;EURIDEP Societe Anonyme;Rueil Malmaison;FR;Jadwiga Szewczyk Polservice Sp. z o.o.;NIC: 02 ;VIE: 2604 2705 ;Wygaśnięcie prawa ochronnego;
010201;011200;1920-11-20;;;02/1926;1926-02-27;;G;EURIDEP Societe Anonyme;Rueil Malmaison;FR;Jadwiga Szewczyk Polservice Sp. z o.o.;NIC: 02 ;VIE: 0207 ;Wygaśnięcie prawa ochronnego;
010216;007645;1920-11-25;;;09/1925;1925-09-30;IVORY SOAP LAUNDRY SIZE;SG;THE PROCTER & GAMBLE COMPANY;CINCINNATI;US;Wanda Kulikowska Wanda Kulikowska i/lub Jarosław Kulikowski;NIC: 03 ;VIE: 2005 2507 2604 ;Wygaśnięcie prawa ochronnego;
010217;007646;1920-11-25;;;09/1925;1925-09-30;CRISCO;SG;The Procter & Gamble Company;Cincinnati;US;Kulikowska & Kulikowski;NIC: 29 ;VIE: 2705 ;Wygaśnięcie prawa ochronnego;
010419;007782;1920-12-15;;;09/1925;1925-09-30;AGA;S;Aga Aktiebolag;Lindingö;SE;Jan Wierzchoń & Partnerzy;NIC: 01 ;;Wygaśnięcie prawa ochronnego;
010420;007783;1920-12-15;;;09/1925;1925-09-30;AGA;S;Aga Aktiebolag;Lindingö;SE;Jan Wierzchoń & Partnerzy;NIC: 01 07 08 11 ;;Wygaśnięcie prawa ochronnego;
010513;010206;1920-12-22;;;;;MARGARIT;S;A/S De-No-Fa og Lilleborg Fabriker;Oslo;NO;PHZ "Polservice";NIC: 01 04 29 30 31 ;;Wygaśnięcie prawa ochronnego;
010557;009191;1920-12-23;;;11/1925;1925-11-30;FIRESTONE;SG;BRIDGESTONE LICENSING SERVICES, INC.;NASHVILLE;US;Jadwiga Szewczyk Polservice Sp. z o.o.;NIC: 12 17 ;VIE: 2705 ;Udzielenie prawa;
010564;007851;1920-12-23;;;;;BORDENS;SG;Borden, Inc.;Nowy Jork;US;PHZ "Polservice";NIC: 29 30 ;VIE: 2705 ;Wygaśnięcie prawa ochronnego;
010584;007864;1920-12-30;;;09/1925;1925-09-30;HUTCHINSON;S;HUTCHINSON;PARYŻ;FR;;NIC: 01 12 17 19 ;;Udzielenie prawa;
010590;007867;1920-12-31;;;;;COMPAGNIE NATIONALE;SG;AIGLE S.A.;Paryż;FR;"Patpol";NIC: 25 ;VIE: 0307 0503 2705 ;Wygaśnięcie prawa ochronnego;
010731;008007;1921-01-10;;;;;SWEET CAPORAL;SG;The American Tobacco Company;Stamford;US;PHZ "Polservice";NIC: 34 ;VIE: 0115 2507 2604 2605 2705 ;Wygaśnięcie prawa ochronnego;
010733;008009;1921-01-10;;;09/1925;1925-09-30;OMAR;SG;BRITISH AMERICAN TOBACCO (BRANDS) INC.;WILMINGTON;US;Berenika Depo Baker & McKenzie Gruszczyński i Wspólnicy Kancelaria Prawna Sp.k.;NIC: 34 ;VIE: 2705 ;Wygaśnięcie prawa ochronnego;
010734;008010;1917-01-10;;;09/1925;1925-09-30;LUCKY STRIKE;S;BRITISH AMERICAN TOBACCO (BRANDS) INC.;WILMINGTON;US;Berenika Depo Baker & McKenzie Gruszczyński i Wspólnicy Kancelaria Prawna Sp.k.;NIC: 34 ;;Udzielenie prawa;
010897;008138;1919-06-12;;;09/1925;1925-09-30;RIDGWAYS;S;TYPHOO TEA LIMITED;WIRRAL;GB;Jadwiga Szewczyk Polservice Sp. z o.o.;NIC: 30 ;;Wygaśnięcie prawa ochronnego;
011072;009944;1921-02-22;;;12/1925;1925-12-31;;G;O. MUSTAD AND SÖN A/S;GJOVIK;NO;Jadwiga Szewczyk Polservice Sp. z o.o.;NIC: 28 ;VIE: 1405 ;Wygaśnięcie prawa ochronnego;
011211;008367;1921-03-11;;;;;FRIGIDAIRE;S;White Consolidated Industries,Inc.;Cleveland;US;PHZ "Polservice";NIC: 11 ;;Wygaśnięcie prawa ochronnego;
011257;008392;1921-03-16;;;;;;G;EMI FRANCE;ISSY-LES-MOULINEAUX;FR;Patpol Spółka z o.o.;NIC: 09 ;VIE: 0307 ;Wygaśnięcie prawa ochronnego;
011261;008396;1921-03-16;;;;;PATHE;S;EMI France;Issy-les-Moulineaux;FR;Patpol Spółka z o.o.;NIC: 09 ;;Wygaśnięcie prawa ochronnego;
011302;010207;1921-03-22;;;;;DE-NO-FA;S;A/S De-No-Fa og Lilleborg Fabriker;Oslo;NO;PHZ "Polservice";NIC: 01 02 03 04 05 29 ;;Wygaśnięcie prawa ochronnego;
011321;008488;1921-03-26;;;;;MELIORA SUNT BONO INIMICA;SG;Elitex,koncern textilniho strojirenstvi;Liberec;CZ;"Patpol";NIC: 07 12 16 ;VIE: 0203 0311 0401 0513 2601 2705 ;Wygaśnięcie prawa ochronnego;
011323;008490;1921-03-26;;;10/1925;1925-10-31;MINERVA;S;MINERVA BOSKOVICE AKCIOVA SPOLECNOST;BOSKOVICE;CZ;;NIC: 07 16 ;;Udzielenie prawa;
011328;008522;1921-03-26;;;;;MAXIMUM;S;POLDI-Spojené Ocelarny, narodni podnik;Kladno;CZ;"Patpol";NIC: 06 ;;Wygaśnięcie prawa ochronnego;
011329;008523;1921-03-26;;;10/1925;1925-10-31;POLDI;S;HUT POLDI uslechtilé oceli spol. s r.o.;Kladno;CZ;"Patpol" Spółka z o.o.;NIC: 06 07 09 12 15 ;;Wygaśnięcie prawa ochronnego;
011349;008543;1921-03-26;;;10/1925;1925-10-31;;G;HUT POLDI USLECHTILÉ OCELI SPOL S R.O.;KLADNO;CZ;"Patpol" Spółka z o.o.;NIC: 06 ;;Wygaśnięcie prawa ochronnego;
011461;010699;1921-04-13;;;;;ARISTOCRAT;S;The Gillette Company;Boston;US;"Patpol" Sp. z o.o.;NIC: 08 20 21 ;;Wygaśnięcie prawa ochronnego;
011839;008846;1921-05-17;;;10/1925;1925-10-31;SUZE;SG;PERNOD RICARD;PARYŻ;FR;Wanda Kulikowska Wanda Kulikowska i/lub Jarosław Kulikowski;NIC: 05 ;VIE: 1907 2005 ;Udzielenie prawa;
011902;008878;1921-05-28;;;;;NATIONAL;S;NCR Corporation;Dayt;US;"Patpol";NIC: 09 ;;Wygaśnięcie prawa ochronnego;
011955;008903;1921-06-04;;;10/1925;1925-10-31;VINOLIA;SG;LABORI INTERNATIONAL B.V.;BREDA;NL;Anna Burakowska PATPOL Spółka z o.o.;NIC: 03 ;VIE: 2503 2705 ;Wygaśnięcie prawa ochronnego;
011966;008911;1921-06-04;;;10/1925;1925-10-31;OMO;S;Unilever N.V.;Roterdam;NL;Marcin Fijałkowski Baker  McKenzie Gruszczyński i Wspólnicy Kancelaria Prawna Sp.k.;NIC: 03 04 34 ;;Udzielenie prawa;
011978;011741;1921-06-04;;;03/1926;1926-03-31;LIFEBUOY;SG;Unilever N.V.;Rotterdam;NL;"Patpol" Sp. z o.o.;NIC: 01 03 04 05 ;VIE: 0115 0201 1804 2604 2705 ;Wygaśnięcie prawa ochronnego;
011981;011743;1921-06-04;;;03/1926;1926-03-31;LIFE-BUOY;S;UNILEVER N.V.;ROTTERDAM;NL;Marcin Fijałkowski Baker McKenzie Gruszczyński i Wspólnicy Kancelaria Prawna Sp.k.;NIC: 03 04 ;;Udzielenie prawa;
011984;011745;1921-06-04;;;03/1926;1926-03-31;LEVER;S;UNILEVER N.V.;ROTTERDAM;NL;Marcin Fijałkowski Baker McKenzie Gruszczyński i Wspólnicy Kancelaria Prawna Sp.k.;NIC: 03 ;;Wygaśnięcie prawa ochronnego;
